,Item,ExpSup,MaxPeriod
0,368,7862.321,113.0
1,529,7082.315,133.0
2,829,6841.142999999998,146.0
3,766,6236.237999999999,112.0
4,722,5878.275000000001,136.0
5,354,5797.438999999999,140.0
6,684,5375.073,184.0
7,217,5345.286999999999,204.0
8,494,5101.821,186.0
9,419,5042.517999999999,159.0
10,692,5020.154,143.0
11,120,4978.844999999999,174.0
12,883,4923.17,197.0
13,937,4664.168000000001,201.0
14,145,4597.888000000002,189.0
15,177,4593.361000000001,183.0
16,438,4536.465999999999,232.0
17,460,4424.72,185.0
18,362,4375.777000000001,224.0
19,789,4299.72,327.0
20,39,4256.324,236.0
21,32,4247.671000000001,219.0
22,682,4174.329000000001,182.0
23,470,4114.952,243.0
24,283,4096.9039999999995,229.0
