766:[6236.237999999994, 112.0]
368:[7862.320999999951, 113.0]
529:[7082.314999999985, 133.0]
722:[5878.275000000022, 136.0]
354:[5797.438999999974, 140.0]
692:[5020.153999999984, 143.0]
829:[6841.142999999976, 146.0]
419:[5042.517999999999, 159.0]
120:[4978.844999999997, 174.0]
682:[4174.3289999999915, 182.0]
720:[3878.664999999989, 182.0]
177:[4593.360999999998, 183.0]
684:[5375.072999999993, 184.0]
460:[4424.71999999999, 185.0]
494:[5101.821000000001, 186.0]
145:[4597.88799999999, 189.0]
966:[3957.137999999998, 190.0]
883:[4923.169999999987, 197.0]
937:[4664.168000000007, 201.0]
217:[5345.286999999985, 204.0]
183:[3835.0010000000048, 206.0]
32:[4247.670999999985, 219.0]
947:[3678.8210000000045, 219.0]
862:[3627.538000000027, 223.0]
346:[3486.039000000002, 223.0]
362:[4375.7769999999955, 224.0]
775:[3771.539000000015, 228.0]
279:[3019.467000000002, 228.0]
283:[4096.903999999994, 229.0]
205:[3639.219000000003, 231.0]
71:[3511.1950000000115, 231.0]
438:[4536.4659999999985, 232.0]
39:[4256.323999999994, 236.0]
12:[3430.0369999999884, 237.0]
914:[4069.430999999998, 242.0]
489:[3431.1069999999845, 242.0]
470:[4114.952000000013, 243.0]
798:[3109.877000000011, 254.0]
509:[3064.2649999999862, 254.0]
895:[3371.296999999998, 255.0]
75:[3121.3870000000084, 259.0]
350:[3085.3000000000034, 261.0]
614:[3133.2139999999968, 263.0]
956:[3621.189999999995, 264.0]
541:[3789.642999999994, 271.0]
825:[3097.994000000008, 271.0]
918:[2998.6110000000135, 275.0]
401:[3655.584999999992, 277.0]
538:[4029.1230000000014, 283.0]
675:[2979.7950000000105, 284.0]
888:[3678.773000000016, 287.0]
919:[3694.9060000000068, 288.0]
510:[3277.0480000000002, 290.0]
487:[3133.515999999994, 294.0]
886:[3029.2819999999956, 298.0]
598:[3235.086000000001, 299.0]
795:[3344.441999999995, 302.0]
381:[2934.8529999999946, 303.0]
789:[4299.719999999999, 327.0]
854:[2846.1770000000015, 334.0]
8:[3097.725999999999, 355.0]
793:[3069.6139999999973, 407.0]
471:[2875.827999999998, 526.0]
