Mode,MinSup,MaxPer,PFItemCount,prepare_database,make_transaction,build_tree,upfp_growth,produce_pattern,max_pattern_length,potential_max_length,potential_pattern_count,size_tree
1.0,4096.0,23170.47500592079,25.0,2.138659287000337,0.0,1.8896340009996493,0.030548744999578048,0.04550055900017469,1.0,1.0,8.0,5598.0
1.0,4096.0,23170.47500592079,25.0,1.6535039299997152,0.0,1.9412530730005528,0.029286752000189153,0.058650986999964516,1.0,1.0,8.0,5598.0
1.0,4096.0,23170.47500592079,25.0,1.7888134200002241,0.0,1.7876943690007465,0.029047238000202924,0.051182607000555436,1.0,1.0,8.0,5598.0
1.0,4096.0,23170.47500592079,25.0,1.7122850180003297,0.0,1.9025481860007858,0.03376786000080756,0.05548341800022172,1.0,1.0,8.0,5598.0
1.0,4096.0,46340.95001184158,25.0,1.739512969000316,0.0,1.9091800420001164,0.029434609999952954,0.04457058199932362,1.0,1.0,8.0,5598.0
1.0,4096.0,46340.95001184158,25.0,1.684884981000323,0.0,1.7924717770001735,0.0271400760002507,0.05040967200056912,1.0,1.0,8.0,5598.0
1.0,4096.0,46340.95001184158,25.0,1.651619314000527,0.0,2.0763168829998904,0.030241055999795208,0.052561036000042805,1.0,1.0,8.0,5598.0
1.0,4096.0,46340.95001184158,25.0,1.6833849399999963,0.0,1.773261211999852,0.029704737000429304,0.054591234999861626,1.0,1.0,8.0,5598.0
1.0,4096.0,92681.90002368316,25.0,1.8051180640004532,0.0,1.9423408960001325,0.029242323000289616,0.045107293000000936,1.0,1.0,8.0,5598.0
1.0,4096.0,92681.90002368316,25.0,1.660632746000374,0.0,1.8503179079998517,0.027051004999520956,0.048173253000641125,1.0,1.0,8.0,5598.0
1.0,4096.0,92681.90002368316,25.0,1.6869353430001865,0.0,1.7684764330006146,0.03500714199981303,0.04472533500029385,1.0,1.0,8.0,5598.0
1.0,4096.0,92681.90002368316,25.0,1.6680086280002797,0.0,1.781395502000123,0.026071253999361943,0.04650475099970208,1.0,1.0,8.0,5598.0
1.0,2048.0,23170.47500592079,149.0,1.7202592889998414,0.0,5.546936165999796,1.0514258840003095,0.1540390899999693,1.0,1.0,29.0,219335.0
1.0,2048.0,23170.47500592079,149.0,1.77631447100066,0.0,5.113402826999845,0.9678951930000039,0.16130186099962884,1.0,1.0,29.0,219335.0
1.0,2048.0,23170.47500592079,149.0,1.7366222029995697,0.0,5.624807340999723,1.0162455949994182,0.15614949300015724,1.0,1.0,29.0,219335.0
1.0,2048.0,23170.47500592079,149.0,1.9113418839997394,0.0,5.311907250000331,0.9737495579993265,0.15860268199958227,1.0,1.0,29.0,219335.0
1.0,2048.0,46340.95001184158,149.0,1.7892647230000875,0.0,5.030013440999937,0.9783053909995942,0.15486201099975005,1.0,1.0,29.0,219335.0
1.0,2048.0,46340.95001184158,149.0,1.7945404229994892,0.0,5.516334349999852,0.9816535899999508,0.1657315379998181,1.0,1.0,29.0,219335.0
1.0,2048.0,46340.95001184158,149.0,1.791800188999332,0.0,5.187554504000218,0.9778237170003194,0.1661007349994179,1.0,1.0,29.0,219335.0
