766:[6236.237999999994, 112.0]
368:[7862.320999999951, 113.0]
529:[7082.314999999985, 133.0]
722:[5878.275000000022, 136.0]
354:[5797.438999999974, 140.0]
692:[5020.153999999984, 143.0]
419:[5042.517999999999, 159.0]
120:[4978.844999999997, 174.0]
720:[3878.664999999989, 182.0]
177:[4593.360999999998, 183.0]
684:[5375.072999999993, 184.0]
460:[4424.71999999999, 185.0]
494:[5101.821000000001, 186.0]
145:[4597.88799999999, 189.0]
966:[3957.137999999998, 190.0]
883:[4923.169999999987, 197.0]
937:[4664.168000000007, 201.0]
217:[5345.286999999985, 204.0]
183:[3835.0010000000048, 206.0]
32:[4247.670999999985, 219.0]
947:[3678.8210000000045, 219.0]
862:[3627.538000000027, 223.0]
362:[4375.7769999999955, 224.0]
775:[3771.539000000015, 228.0]
279:[3019.467000000002, 228.0]
283:[4096.903999999994, 229.0]
205:[3639.219000000003, 231.0]
71:[3511.1950000000115, 231.0]
438:[4536.4659999999985, 232.0]
39:[4256.323999999994, 236.0]
526:[2815.3470000000057, 236.0]
12:[3430.0369999999884, 237.0]
914:[4069.430999999998, 242.0]
489:[3431.1069999999845, 242.0]
470:[4114.952000000013, 243.0]
522:[2718.41, 244.0]
798:[3109.877000000011, 254.0]
509:[3064.2649999999862, 254.0]
895:[3371.296999999998, 255.0]
93:[2783.070999999998, 256.0]
239:[2747.77, 256.0]
885:[3036.372000000003, 257.0]
75:[3121.3870000000084, 259.0]
350:[3085.3000000000034, 261.0]
614:[3133.2139999999968, 263.0]
694:[2799.513000000008, 263.0]
956:[3621.189999999995, 264.0]
112:[2691.854000000001, 268.0]
998:[2696.814000000002, 269.0]
140:[2682.5100000000034, 270.0]
541:[3789.642999999994, 271.0]
918:[2998.6110000000135, 275.0]
676:[2689.1079999999984, 275.0]
401:[3655.584999999992, 277.0]
21:[2649.385999999997, 277.0]
411:[2039.9279999999974, 279.0]
631:[2785.7150000000006, 280.0]
593:[2598.1800000000057, 281.0]
72:[2789.907999999996, 282.0]
538:[4029.1230000000014, 283.0]
561:[2796.683, 283.0]
675:[2979.7950000000105, 284.0]
797:[2724.9280000000063, 285.0]
888:[3678.773000000016, 287.0]
919:[3694.9060000000068, 288.0]
674:[2549.236999999998, 289.0]
477:[2440.7059999999965, 289.0]
510:[3277.0480000000002, 290.0]
54:[2600.5630000000006, 291.0]
487:[3133.515999999994, 294.0]
48:[2480.0639999999967, 295.0]
886:[3029.2819999999956, 298.0]
598:[3235.086000000001, 299.0]
175:[2803.991000000002, 299.0]
597:[2856.4850000000047, 301.0]
132:[2670.221999999999, 301.0]
795:[3344.441999999995, 302.0]
844:[2800.027000000007, 302.0]
381:[2934.8529999999946, 303.0]
653:[2661.134999999998, 305.0]
569:[2846.7789999999973, 306.0]
874:[2245.7359999999994, 308.0]
387:[2098.1379999999954, 309.0]
274:[2613.980999999999, 311.0]
204:[2185.5239999999994, 311.0]
944:[2789.7080000000105, 312.0]
778:[2497.0220000000054, 313.0]
782:[2746.033999999996, 318.0]
571:[2880.250999999994, 320.0]
581:[2951.5640000000003, 323.0]
57:[2732.4510000000078, 323.0]
73:[2175.5070000000037, 324.0]
450:[2096.0939999999946, 329.0]
935:[1756.4799999999996, 332.0]
332:[1869.8529999999987, 333.0]
854:[2846.1770000000015, 334.0]
661:[2666.224999999992, 334.0]
634:[2478.652999999998, 336.0]
449:[1900.7879999999998, 337.0]
280:[2118.2209999999986, 339.0]
809:[2121.669999999995, 340.0]
472:[2111.9170000000013, 340.0]
878:[2072.899999999995, 340.0]
871:[2819.2139999999954, 341.0]
752:[2620.2390000000078, 341.0]
38:[2426.8139999999994, 341.0]
548:[2838.1000000000026, 342.0]
276:[2498.877000000005, 343.0]
803:[2214.192, 343.0]
161:[2347.258999999997, 345.0]
744:[2163.7290000000007, 345.0]
