,Item,ExpSup,MaxPeriod
0,Humidity_HIGH,6992.894520894521,49.0
1,AQI_SO2_lv1,6992.0,49.0
2,Temperature_HIGH,6991.742638969779,49.0
3,AQI_NO2_lv1,6851.7169811320755,49.0
4,Bus_LOW,6441.781009264696,49.0
5,AQI_CO_lv2,5881.16028708134,49.0
6,AQI_O3_lv1,5524.0,49.0
7,UV_LOW,5248.016178303502,49.0
8,Truck_LOW,5198.3061451339145,49.0
9,Altitude_HIGH,4563.842193245804,49.0
10,Car_MODERATE,3194.901163450317,49.0
11,AQI_PM10_lv1,2862.5661375661375,52.0
12,Person_MODERATE,2648.7716316369806,49.0
13,AQI_PM10_lv2,2562.509050403787,54.0
14,Person_LOW,2499.6588411516195,55.0
15,AQI_PM2.5_lv3,2431.831466757021,54.0
16,Motorbike_LOW,2379.5532469085706,63.0
17,Motorbike_HIGH,2151.881051770421,49.0
18,WindSpeed_LOW,1878.5062294699583,63.0
19,WindGust_LOW,1820.7065127866467,63.0
20,AQI_PM2.5_lv2,1559.718045112782,54.0
21,Motorbike_MODERATE,1393.353172329285,54.0
22,WindSin_LOW,1276.6429615638554,63.0
23,Car_HIGH,1113.5870327090033,50.0
24,Rainfall_LOW,1091.6415738247879,193.0
25,Car_LOW,1054.4132368248308,100.0
26,Truck_MODERATE,990.2648306235882,49.0
27,UV_HIGH,909.7032335553886,142.0
28,WindCos_HIGH,844.5576996118455,113.0
29,WindCos_LOW,817.6962306484793,66.0
30,AQI_PM2.5_lv4,801.618828908491,60.0
31,AQI_O3_lv4,740.978717948718,80.0
32,Person_HIGH,679.1730760723372,78.0
33,Rainfall_HIGH,622.610629211075,376.0
34,WindSin_HIGH,585.300857284884,193.0
35,AQI_PM2.5_lv1,568.6428571428571,190.0
36,UV_MODERATE,499.8272514648734,116.0
37,AQI_O3_lv5,428.3458974358974,135.0
38,AQI_PM10_lv3,389.4602091086302,109.0
39,Altitude_LOW,321.815674343109,464.0
40,Bus_MODERATE,271.7973160840602,120.0
41,WindCos_MODERATE,173.3635659181207,126.0
42,Rainfall_MODERATE,141.50785788575251,659.0
43,AQI_CO_lv3,122.31435406698563,597.0
44,Truck_HIGH,119.7442320705937,245.0
45,WindSin_MODERATE,51.55834913544155,191.0
