,Item,ExpSup,MaxPeriod
0,Bus_LOW,2981.3162063929944,52.0
1,AQI_PM10_lv1,2862.5661375661375,52.0
2,Truck_LOW,2406.344527086925,52.0
3,Car_MODERATE,1450.011782702764,54.0
4,Person_LOW,1273.561111386608,60.0
5,Person_MODERATE,1216.5334551946821,52.0
6,Motorbike_LOW,1193.4058678245876,92.0
7,Motorbike_HIGH,1103.4456023943935,52.0
8,Car_HIGH,531.9845613678692,62.0
9,Car_LOW,492.4260278441625,120.0
10,Motorbike_MODERATE,467.78560879315717,59.0
11,Truck_MODERATE,442.3901662600017,118.0
12,Person_HIGH,235.02722728464295,264.0
13,Bus_MODERATE,115.69280970125573,120.0
14,Truck_HIGH,65.51848100273904,245.0
15,Bus_HIGH,24.92400192400192,322.0
