Motorbike_LOW, Car_MODERATE, Person_LOW, Truck_LOW, Bus_LOW, AQI_PM10_lv1:[405.4942969699555, 119.0]
Car_LOW, Motorbike_LOW, Person_LOW, Truck_LOW, Bus_LOW, AQI_PM10_lv1:[211.31058696790154, 162.0]
Motorbike_HIGH, Car_MODERATE, Person_MODERATE, Truck_LOW, Bus_LOW, AQI_PM10_lv1:[149.2590838130414, 72.0]
Car_HIGH, Truck_LOW, Person_MODERATE, Motorbike_HIGH, Bus_LOW, AQI_PM10_lv1:[61.712930857173376, 75.0]
Motorbike_MODERATE, Car_MODERATE, Person_MODERATE, Truck_LOW, Bus_LOW, AQI_PM10_lv1:[58.06985876184616, 167.0]
Motorbike_LOW, Person_MODERATE, Car_MODERATE, Truck_LOW, Bus_LOW, AQI_PM10_lv1:[42.44625126677697, 311.0]
Car_LOW, Motorbike_HIGH, Person_MODERATE, Truck_LOW, Bus_LOW, AQI_PM10_lv1:[40.3003908387754, 277.0]
Person_HIGH, Car_MODERATE, Truck_LOW, Motorbike_HIGH, Bus_LOW, AQI_PM10_lv1:[35.483607836205124, 337.0]
Truck_MODERATE, Car_HIGH, Motorbike_HIGH, Person_MODERATE, Bus_LOW, AQI_PM10_lv1:[32.96901905461095, 140.0]
Motorbike_MODERATE, Person_LOW, Car_MODERATE, Truck_LOW, Bus_LOW, AQI_PM10_lv1:[31.712574112262416, 297.0]
Truck_MODERATE, Car_MODERATE, Motorbike_HIGH, Person_MODERATE, Bus_LOW, AQI_PM10_lv1:[28.88248949601494, 136.0]
Truck_MODERATE, Motorbike_LOW, Car_MODERATE, Person_LOW, Bus_LOW, AQI_PM10_lv1:[25.07430541318446, 289.0]
Person_HIGH, Car_HIGH, Truck_LOW, Motorbike_HIGH, Bus_LOW, AQI_PM10_lv1:[24.12899599498767, 289.0]
Motorbike_MODERATE, Car_LOW, Person_MODERATE, Bus_LOW, Truck_LOW, AQI_PM10_lv1:[21.762456715928785, 264.0]
Person_HIGH, Car_LOW, Motorbike_HIGH, Truck_LOW, Bus_LOW, AQI_PM10_lv1:[21.300205640385386, 612.0]
