,Item,ExpSup,MaxPeriod
0,Bus_LOW,2927.4879870763953,54.0
1,AQI_PM2.5_lv3,2431.831466757021,54.0
2,Truck_LOW,2313.2579122823677,54.0
3,Car_MODERATE,1451.9696677902323,54.0
4,Person_MODERATE,1248.528637329488,54.0
5,Person_LOW,1064.509513156681,57.0
6,Motorbike_HIGH,1010.7551947163537,54.0
7,Motorbike_LOW,971.9024874323478,65.0
8,Motorbike_MODERATE,691.8253640189191,54.0
9,Car_HIGH,545.6233434121391,56.0
10,Truck_MODERATE,497.77006691608574,54.0
11,Car_LOW,452.275046478318,114.0
12,Person_HIGH,319.82919151273495,106.0
13,Bus_MODERATE,130.64093573178826,256.0
14,Truck_HIGH,44.908800310278906,341.0
15,Bus_HIGH,16.778984414278533,334.0
