,Item,ExpSup,MaxPeriod
0,AQI_SO2_lv1,6992.0,49.0
1,Bus_LOW,6441.08819880718,49.0
2,Truck_LOW,5198.3061451339145,49.0
3,Car_MODERATE,3194.901163450317,49.0
4,Person_MODERATE,2647.964442094497,49.0
5,Person_LOW,2499.6588411516195,55.0
6,Motorbike_LOW,2379.55324690857,63.0
7,Motorbike_HIGH,2151.0225692469767,49.0
8,Motorbike_MODERATE,1393.3531723292851,54.0
9,Car_HIGH,1112.8419346697876,50.0
10,Car_LOW,1054.4132368248308,100.0
11,Truck_MODERATE,989.2942423882942,49.0
12,Person_HIGH,679.1730760723372,78.0
13,Bus_MODERATE,271.7973160840602,120.0
14,Truck_HIGH,119.7442320705937,245.0
15,Bus_HIGH,46.27441490970902,316.0
