,Item,ExpSup,MaxPeriod
0,Bus_LOW,157.24402841984028,184.0
1,Truck_LOW,138.20960802482543,185.0
2,AQI_CO_lv3,122.31435406698564,184.0
3,Car_MODERATE,66.6742556153193,185.0
4,Person_MODERATE,63.21528512742833,185.0
5,Person_LOW,60.18611496528163,269.0
6,Motorbike_LOW,58.64978697503612,269.0
7,Motorbike_HIGH,52.297084432659034,188.0
8,Car_LOW,44.34179247436909,316.0
9,Motorbike_MODERATE,39.313519600761914,230.0
10,Car_HIGH,26.63400869283222,188.0
11,Person_HIGH,20.956758546464428,303.0
12,Truck_MODERATE,17.19525445902167,231.0
13,Bus_MODERATE,8.943848743848744,312.0
14,Truck_HIGH,5.159313725490196,379.0
15,Bus_HIGH,3.2832244008714597,379.0
