,Item,ExpSup,MaxPeriod
0,AQI_NO2_lv1,6851.716981132075,49.0
1,Bus_LOW,6440.781009264696,49.0
2,Truck_LOW,5197.3061451339145,49.0
3,Car_MODERATE,3194.901163450317,49.0
4,Person_MODERATE,2647.775905141254,49.0
5,Person_LOW,2499.6588411516195,55.0
6,Motorbike_LOW,2378.8408723266307,63.0
7,Motorbike_HIGH,2151.881051770421,49.0
8,Motorbike_MODERATE,1393.353172329285,54.0
9,Car_HIGH,1113.048571170542,50.0
10,Car_LOW,1054.4132368248308,100.0
11,Truck_MODERATE,990.2648306235882,49.0
12,Person_HIGH,679.1730760723372,78.0
13,Bus_MODERATE,271.7973160840602,120.0
14,Truck_HIGH,119.7442320705937,245.0
15,Bus_HIGH,46.27441490970902,316.0
