,Item,ExpSup,MaxPeriod
0,Bus_LOW,892.7638361011757,80.0
1,AQI_O3_lv4,740.978717948718,80.0
2,Truck_LOW,713.1972825475841,81.0
3,Car_MODERATE,448.2156429196383,83.0
4,Person_MODERATE,364.9626379175138,104.0
5,Person_LOW,349.3020084568543,149.0
6,Motorbike_LOW,338.25194665016784,162.0
7,Motorbike_HIGH,289.99324097226724,80.0
8,Motorbike_MODERATE,185.17687482551767,105.0
9,Car_HIGH,149.68451835980358,149.0
10,Car_LOW,139.96061127912995,203.0
11,Truck_MODERATE,138.2464613615041,104.0
12,Person_HIGH,84.18353911537353,168.0
13,Bus_MODERATE,33.27000686836929,363.0
14,Truck_HIGH,10.839056776556776,557.0
15,Bus_HIGH,7.49206349206349,578.0
