Motorbike_LOW, Car_MODERATE, Person_LOW, Truck_LOW, Bus_LOW, AQI_PM2.5_lv2:[204.1202879848306, 120.0]
Car_HIGH, Truck_LOW, Person_MODERATE, Motorbike_HIGH, Bus_LOW, AQI_PM2.5_lv2:[39.2466602457435, 122.0]
Motorbike_HIGH, Car_MODERATE, Person_MODERATE, Truck_LOW, Bus_LOW, AQI_PM2.5_lv2:[90.49311778687112, 138.0]
Motorbike_MODERATE, Car_MODERATE, Person_MODERATE, Truck_LOW, Bus_LOW, AQI_PM2.5_lv2:[29.945360557812737, 167.0]
Motorbike_MODERATE, Car_HIGH, Truck_LOW, Person_MODERATE, Bus_LOW, AQI_PM2.5_lv2:[8.547325028440646, 210.0]
Truck_MODERATE, Car_MODERATE, Person_MODERATE, Motorbike_HIGH, Bus_LOW, AQI_PM2.5_lv2:[15.962955730019207, 258.0]
Truck_MODERATE, Car_HIGH, Person_MODERATE, Motorbike_HIGH, Bus_LOW, AQI_PM2.5_lv2:[17.53748643800489, 259.0]
Car_LOW, Person_LOW, Motorbike_LOW, Truck_LOW, Bus_LOW, AQI_PM2.5_lv2:[89.06031250748394, 282.0]
Car_LOW, Motorbike_HIGH, Person_MODERATE, Truck_LOW, Bus_LOW, AQI_PM2.5_lv2:[20.843943230309918, 285.0]
Truck_MODERATE, Motorbike_LOW, Car_MODERATE, Person_LOW, Bus_LOW, AQI_PM2.5_lv2:[15.21328053422823, 289.0]
Person_HIGH, Car_HIGH, Truck_LOW, Motorbike_HIGH, Bus_LOW, AQI_PM2.5_lv2:[13.483431805593955, 289.0]
Truck_MODERATE, Motorbike_MODERATE, Car_MODERATE, Person_MODERATE, Bus_LOW, AQI_PM2.5_lv2:[3.5032098055934093, 293.0]
Motorbike_LOW, Person_MODERATE, Car_MODERATE, Truck_LOW, Bus_LOW, AQI_PM2.5_lv2:[22.170582201280492, 311.0]
Truck_MODERATE, Person_LOW, Motorbike_HIGH, Car_HIGH, Bus_LOW, AQI_PM2.5_lv2:[1.7484294987980438, 319.0]
Motorbike_MODERATE, Person_LOW, Car_MODERATE, Truck_LOW, Bus_LOW, AQI_PM2.5_lv2:[16.25331895092113, 332.0]
