Motorbike_HIGH, Car_MODERATE, Person_MODERATE, Truck_LOW, Bus_LOW, AQI_PM2.5_lv3:[96.94954095066012, 63.0]
Motorbike_LOW, Car_MODERATE, Person_LOW, Truck_LOW, Bus_LOW, AQI_PM2.5_lv3:[258.9729204509373, 71.0]
Motorbike_MODERATE, Person_MODERATE, Car_MODERATE, Truck_LOW, Bus_LOW, AQI_PM2.5_lv3:[96.37196022081491, 97.0]
Truck_MODERATE, Car_MODERATE, Motorbike_HIGH, Person_MODERATE, Bus_LOW, AQI_PM2.5_lv3:[20.480938094968394, 114.0]
Truck_MODERATE, Motorbike_LOW, Car_MODERATE, Person_LOW, Bus_LOW, AQI_PM2.5_lv3:[26.11741227817667, 118.0]
Truck_MODERATE, Car_HIGH, Motorbike_HIGH, Person_MODERATE, Bus_LOW, AQI_PM2.5_lv3:[29.19601084134353, 134.0]
Car_HIGH, Truck_LOW, Person_MODERATE, Motorbike_HIGH, Bus_LOW, AQI_PM2.5_lv3:[54.30107653918886, 142.0]
Motorbike_LOW, Person_MODERATE, Car_MODERATE, Truck_LOW, Bus_LOW, AQI_PM2.5_lv3:[31.150118854766646, 145.0]
Motorbike_MODERATE, Person_LOW, Car_MODERATE, Truck_LOW, Bus_LOW, AQI_PM2.5_lv3:[41.25556077754556, 157.0]
Car_LOW, Motorbike_LOW, Person_LOW, Truck_LOW, Bus_LOW, AQI_PM2.5_lv3:[138.1931272598264, 161.0]
Truck_MODERATE, Motorbike_MODERATE, Car_MODERATE, Person_MODERATE, Bus_LOW, AQI_PM2.5_lv3:[13.242806249449822, 193.0]
Person_HIGH, Car_HIGH, Truck_LOW, Motorbike_HIGH, Bus_LOW, AQI_PM2.5_lv3:[22.9192333718197, 206.0]
Car_LOW, Motorbike_MODERATE, Person_MODERATE, Truck_LOW, Bus_LOW, AQI_PM2.5_lv3:[23.15579903357911, 211.0]
Truck_MODERATE, Motorbike_MODERATE, Car_HIGH, Person_MODERATE, Bus_LOW, AQI_PM2.5_lv3:[11.350308938664718, 211.0]
Motorbike_HIGH, Person_LOW, Car_MODERATE, Truck_LOW, Bus_LOW, AQI_PM2.5_lv3:[7.664061992458437, 232.0]
Bus_MODERATE, Car_HIGH, Truck_MODERATE, Motorbike_HIGH, Person_MODERATE, AQI_PM2.5_lv3:[7.279318219128834, 258.0]
Car_LOW, Motorbike_MODERATE, Person_LOW, Bus_LOW, Truck_LOW, AQI_PM2.5_lv3:[14.257758233176276, 303.0]
Person_HIGH, Car_MODERATE, Motorbike_HIGH, Truck_LOW, Bus_LOW, AQI_PM2.5_lv3:[41.04494822286272, 318.0]
Truck_MODERATE, Person_LOW, Car_HIGH, Motorbike_MODERATE, Bus_LOW, AQI_PM2.5_lv3:[4.093650470587818, 320.0]
Person_HIGH, Motorbike_MODERATE, Car_MODERATE, Truck_LOW, Bus_LOW, AQI_PM2.5_lv3:[13.367931715666176, 334.0]
Car_HIGH, Person_LOW, Motorbike_MODERATE, Truck_LOW, Bus_LOW, AQI_PM2.5_lv3:[8.668153220767314, 337.0]
Bus_MODERATE, Car_MODERATE, Motorbike_HIGH, Truck_MODERATE, Person_MODERATE, AQI_PM2.5_lv3:[2.953017201764767, 355.0]
Bus_MODERATE, Truck_LOW, Car_MODERATE, Motorbike_HIGH, Person_MODERATE, AQI_PM2.5_lv3:[2.908743645584008, 358.0]
Car_HIGH, Motorbike_LOW, Person_MODERATE, Truck_LOW, Bus_LOW, AQI_PM2.5_lv3:[1.816397262608362, 360.0]
Bus_MODERATE, Truck_LOW, Car_HIGH, Motorbike_HIGH, Person_MODERATE, AQI_PM2.5_lv3:[4.799061997204862, 385.0]
Person_HIGH, Car_LOW, Motorbike_MODERATE, Truck_LOW, Bus_LOW, AQI_PM2.5_lv3:[6.752333040519385, 391.0]
