,Item,ExpSup,MaxPeriod
0,Bus_LOW,594.998420926078,74.0
1,AQI_O3_lv4,482.45297341407894,74.0
2,AQI_PM2.5_lv3,390.16412755555507,138.0
3,Truck_LOW,381.44509401362416,107.0
4,Motorbike_30Per,314.7776371143434,75.0
5,AQI_PM10_lv2,292.6260094681147,138.0
6,Car_15Per,267.217365171554,189.0
7,Car_30Per,265.64961132880455,74.0
8,Person_15Per,256.18710061489196,87.0
9,AQI_PM10_lv1,252.56084656084658,74.0
10,Truck_15Per,187.37652733322764,118.0
11,Motorbike_LOW,167.1194290797859,213.0
12,AQI_PM2.5_lv2,157.08020050125313,74.0
13,Person_30Per,157.06696982525582,121.0
14,Person_LOW,151.83921011023983,194.0
15,WeekDay_Friday,122.0,176.0
16,WeekDay_Thursday,118.0,490.0
17,WeekDay_Saturday,111.0,320.0
18,WeekDay_Sunday,108.0,173.0
19,WeekDay_Monday,104.0,164.0
20,WeekDay_Wednesday,100.0,482.0
