,Item,ExpSup,MaxPeriod
0,AQI_SO2_lv1,1460.0,50.0
1,AQI_NO2_lv1,1435.0943396226414,50.0
2,AQI_CO_lv2,1268.6004784688996,50.0
3,AQI_O3_lv1,1182.0,50.0
4,Car_HIGH,1113.5870327090033,50.0
5,AQI_PM10_lv1,605.9576719576719,62.0
6,AQI_PM10_lv2,556.6158451684767,56.0
7,AQI_PM2.5_lv3,555.0607160605376,56.0
8,AQI_PM2.5_lv2,352.55169172932335,108.0
9,AQI_O3_lv4,151.71153846153845,149.0
10,AQI_PM2.5_lv4,126.8602061811202,174.0
11,AQI_PM2.5_lv1,93.75,191.0
12,AQI_O3_lv5,67.72179487179488,193.0
13,AQI_PM10_lv3,57.531603756866915,314.0
14,AQI_CO_lv3,23.429425837320572,598.0
