,Item,ExpSup,MaxPeriod
0,AQI_SO2_lv1,2607.0,49.0
1,AQI_NO2_lv1,2556.1132075471696,49.0
2,AQI_CO_lv2,2222.338516746411,49.0
3,Motorbike_HIGH,2151.8810517704214,49.0
4,AQI_O3_lv1,2023.0,50.0
5,AQI_PM10_lv1,1183.6825396825398,52.0
6,AQI_PM2.5_lv3,942.3424117159852,54.0
7,AQI_PM10_lv2,929.0803397382344,54.0
8,AQI_PM2.5_lv2,691.9611528822055,72.0
9,AQI_O3_lv4,272.6679487179487,80.0
10,AQI_O3_lv5,189.39256410256408,135.0
11,AQI_PM2.5_lv4,181.00176030366427,127.0
12,AQI_PM2.5_lv1,175.26190476190476,286.0
13,AQI_PM10_lv3,90.36801701222754,179.0
14,AQI_CO_lv3,41.66186602870813,597.0
15,AQI_PM2.5_lv5,9.727860906217071,762.0
16,AQI_PM10_lv4,2.5646464646464646,762.0
17,AQI_PM10_lv5,1.5347474747474743,894.0
