,Item,ExpSup,MaxPeriod
0,AQI_SO2_lv1,1882.0,54.0
1,AQI_NO2_lv1,1846.433962264151,54.0
2,AQI_CO_lv2,1563.5167464114834,54.0
3,AQI_O3_lv1,1502.0,54.0
4,Motorbike_MODERATE,1393.3531723292851,54.0
5,AQI_PM10_lv2,801.5239487607907,54.0
6,AQI_PM2.5_lv3,705.8205564340035,54.0
7,AQI_PM10_lv1,573.6931216931216,59.0
8,AQI_PM2.5_lv2,319.1964285714286,59.0
9,AQI_PM2.5_lv4,306.2189033148576,143.0
10,AQI_O3_lv4,194.20794871794874,105.0
11,AQI_PM10_lv3,151.02841041998937,162.0
12,AQI_O3_lv5,108.90512820512821,215.0
13,AQI_PM2.5_lv1,100.8452380952381,286.0
14,AQI_CO_lv3,34.91578947368421,601.0
15,AQI_PM2.5_lv5,8.379199157007374,720.0
