,Item,ExpSup,MaxPeriod
0,AQI_SO2_lv1,832.0,78.0
1,AQI_NO2_lv1,813.2264150943396,78.0
2,Person_HIGH,679.1730760723372,78.0
3,AQI_CO_lv2,677.3325358851675,78.0
4,AQI_O3_lv1,655.0,78.0
5,AQI_PM10_lv2,351.0045948203842,100.0
6,AQI_PM2.5_lv3,303.7028017468564,106.0
7,AQI_PM10_lv1,253.43386243386243,264.0
8,AQI_PM2.5_lv2,150.80200501253134,264.0
9,AQI_PM2.5_lv4,143.91766881618392,177.0
10,AQI_O3_lv4,77.81923076923077,168.0
11,AQI_PM10_lv3,75.70678362573099,212.0
12,AQI_O3_lv5,58.46333333333333,334.0
13,AQI_PM2.5_lv1,35.666666666666664,440.0
14,AQI_CO_lv3,18.544066985645934,599.0
15,AQI_PM2.5_lv5,1.9410010537407794,963.0
