,Item,ExpSup,MaxPeriod
0,AQI_SO2_lv1,3402.0,49.0
1,AQI_NO2_lv1,3338.0377358490564,49.0
2,AQI_CO_lv2,2878.229665071771,49.0
3,AQI_O3_lv1,2674.0,49.0
4,Person_MODERATE,2648.7716316369806,49.0
5,AQI_PM10_lv1,1373.2169312169312,52.0
6,AQI_PM10_lv2,1286.6959064327484,54.0
7,AQI_PM2.5_lv3,1226.5786443038928,54.0
8,AQI_PM2.5_lv2,779.8621553884711,54.0
9,AQI_O3_lv4,365.30974358974356,104.0
10,AQI_PM2.5_lv4,352.05099941768935,127.0
11,AQI_PM2.5_lv1,236.78571428571428,190.0
12,AQI_O3_lv5,219.61384615384617,136.0
13,AQI_PM10_lv3,170.68865497076024,143.0
14,AQI_CO_lv3,57.15129186602871,597.0
15,AQI_PM2.5_lv5,13.433656480505796,721.0
16,AQI_PM10_lv4,2.5646464646464646,762.0
17,AQI_PM10_lv5,1.5347474747474743,894.0
