,Item,ExpSup,MaxPeriod
0,AQI_SO2_lv1,1301.0,49.0
1,AQI_NO2_lv1,1277.8490566037735,49.0
2,AQI_CO_lv2,1107.2368421052631,49.0
3,AQI_O3_lv1,1025.0,49.0
4,Truck_MODERATE,990.2648306235882,49.0
5,AQI_PM10_lv2,514.3017265385687,54.0
6,AQI_PM10_lv1,512.1851851851851,118.0
7,AQI_PM2.5_lv3,501.0159140877946,54.0
8,AQI_PM2.5_lv2,287.14755639097746,144.0
9,AQI_O3_lv4,146.9251282051282,104.0
10,AQI_PM2.5_lv4,124.05636400888565,128.0
11,AQI_PM2.5_lv1,87.54761904761904,191.0
12,AQI_O3_lv5,77.48589743589744,233.0
13,AQI_PM10_lv3,56.93698032961192,194.0
14,AQI_CO_lv3,15.905406698564594,599.0
15,AQI_PM2.5_lv5,2.4329293993677554,949.0
