,Item,ExpSup,MaxPeriod
0,AQI_SO2_lv1,57.0,316.0
1,AQI_NO2_lv1,55.49056603773585,316.0
2,AQI_CO_lv2,47.99641148325358,316.0
3,Bus_HIGH,46.274414909709016,316.0
4,AQI_O3_lv1,45.0,316.0
5,AQI_PM10_lv1,27.857142857142858,322.0
6,AQI_PM10_lv2,20.472013366750208,334.0
7,AQI_PM2.5_lv3,16.823504630675398,334.0
8,AQI_PM2.5_lv2,15.421365914786968,340.0
9,AQI_PM2.5_lv1,7.107142857142858,490.0
10,AQI_O3_lv4,7.088205128205127,578.0
11,AQI_CO_lv3,2.6927751196172247,930.0
12,AQI_O3_lv5,2.0953846153846154,814.0
