,Item,ExpSup,MaxPeriod
0,AQI_SO2_lv1,6574.0,49.0
1,AQI_NO2_lv1,6442.773584905659,49.0
2,Bus_LOW,6441.781009264696,49.0
3,AQI_CO_lv2,5541.866028708135,49.0
4,AQI_O3_lv1,5187.0,49.0
5,AQI_PM10_lv1,2697.6931216931216,52.0
6,AQI_PM10_lv2,2399.0364800891116,54.0
7,AQI_PM2.5_lv3,2282.3313334839245,54.0
8,AQI_PM2.5_lv2,1474.3405388471178,59.0
9,AQI_PM2.5_lv4,757.7733735199604,60.0
10,AQI_O3_lv4,698.3892307692308,80.0
11,AQI_PM2.5_lv1,530.0,190.0
12,AQI_O3_lv5,406.77102564102563,135.0
13,AQI_PM10_lv3,366.2210490873649,109.0
14,AQI_CO_lv3,112.13507177033495,597.0
15,AQI_PM2.5_lv5,17.045237091675446,644.0
16,AQI_PM10_lv4,4.025050505050505,762.0
17,AQI_PM10_lv5,1.5347474747474743,894.0
