,Item,ExpSup,MaxPeriod
0,AQI_SO2_lv1,361.0,120.0
1,AQI_NO2_lv1,353.4528301886792,120.0
2,AQI_O3_lv1,292.0,120.0
3,AQI_CO_lv2,291.29784688995215,120.0
4,Bus_MODERATE,271.7973160840602,120.0
5,AQI_PM10_lv2,143.00055694792536,256.0
6,AQI_PM10_lv1,137.015873015873,120.0
7,AQI_PM2.5_lv3,132.6766286424215,256.0
8,AQI_PM2.5_lv2,69.9561403508772,174.0
9,AQI_PM2.5_lv4,38.81807341428171,325.0
10,AQI_O3_lv4,35.50128205128205,363.0
11,AQI_PM2.5_lv1,31.53571428571429,214.0
12,AQI_PM10_lv3,21.897054758107387,323.0
13,AQI_O3_lv5,19.47948717948718,408.0
14,AQI_CO_lv3,7.486507177033492,624.0
15,AQI_PM2.5_lv5,2.8887144362486827,984.0
