,Item,ExpSup,MaxPeriod
0,AQI_SO2_lv1,1364.0,100.0
1,AQI_NO2_lv1,1327.2075471698113,100.0
2,AQI_CO_lv2,1062.44019138756,100.0
3,AQI_O3_lv1,1057.0,100.0
4,Car_LOW,1054.4132368248308,100.0
5,AQI_PM10_lv1,572.4867724867725,120.0
6,AQI_PM10_lv2,467.48886104149256,112.0
7,AQI_PM2.5_lv3,438.45831338001653,114.0
8,AQI_PM2.5_lv2,282.1381578947369,158.0
9,AQI_PM2.5_lv4,181.58389695257407,362.0
10,AQI_CO_lv5,153.83103448275864,995.0
11,AQI_PM2.5_lv1,141.95238095238096,281.0
12,AQI_O3_lv4,135.6553846153846,203.0
13,AQI_O3_lv5,112.12153846153846,397.0
14,AQI_PM10_lv3,95.07617224880383,363.0
15,AQI_CO_lv3,38.594210526315784,571.0
16,AQI_PM2.5_lv5,2.3926554267650157,937.0
