,Item,ExpSup,MaxPeriod
0,AQI_SO2_lv1,4168.0,49.0
1,AQI_NO2_lv1,4089.4150943396226,49.0
2,AQI_CO_lv2,3550.1196172248806,49.0
3,AQI_O3_lv1,3285.0,49.0
4,Car_MODERATE,3194.901163450317,49.0
5,AQI_PM10_lv1,1684.1216931216932,54.0
6,AQI_PM10_lv2,1538.404344193818,54.0
7,AQI_PM2.5_lv3,1438.3124373164671,54.0
8,AQI_PM2.5_lv2,925.0281954887218,56.0
9,AQI_PM2.5_lv4,493.1747257747968,69.0
10,AQI_O3_lv4,453.61179487179487,83.0
11,AQI_PM2.5_lv1,332.94047619047615,190.0
12,AQI_O3_lv5,248.50256410256412,162.0
13,AQI_PM10_lv3,236.85243310295942,109.0
14,AQI_CO_lv3,60.29071770334928,599.0
15,AQI_PM2.5_lv5,16.086027397260274,644.0
16,AQI_PM10_lv4,3.3418181818181814,764.0
17,AQI_PM10_lv5,1.5347474747474743,894.0
