,Item,ExpSup,MaxPeriod
0,AQI_SO2_lv1,2503.0,63.0
1,AQI_NO2_lv1,2449.169811320755,63.0
2,Motorbike_LOW,2379.55324690857,63.0
3,AQI_CO_lv2,2095.305023923445,63.0
4,AQI_O3_lv1,1999.0,63.0
5,AQI_PM10_lv1,1105.1904761904761,92.0
6,AQI_PM10_lv2,831.9047619047619,66.0
7,AQI_PM2.5_lv3,783.6684986070325,65.0
8,AQI_PM2.5_lv2,548.5604636591479,92.0
9,AQI_PM2.5_lv4,314.3981652899692,120.0
10,AQI_PM2.5_lv1,292.5357142857143,281.0
11,AQI_O3_lv4,274.10282051282053,162.0
12,AQI_PM10_lv3,148.06378167641327,143.0
13,AQI_O3_lv5,130.04820512820513,457.0
14,AQI_CO_lv3,45.7366985645933,863.0
15,AQI_PM2.5_lv5,1.8268914646996839,872.0
