,Item,ExpSup,MaxPeriod
0,AQI_SO2_lv1,2758.0,55.0
1,AQI_NO2_lv1,2700.452830188679,55.0
2,Person_LOW,2499.6588411516195,55.0
3,AQI_CO_lv2,2325.598086124402,55.0
4,AQI_O3_lv1,2195.0,55.0
5,AQI_PM10_lv1,1235.9153439153438,60.0
6,AQI_PM10_lv2,924.8085491506545,56.0
7,AQI_PM2.5_lv3,901.5500207062721,57.0
8,AQI_PM2.5_lv2,629.0538847117795,67.0
9,AQI_PM2.5_lv4,305.6501606746177,78.0
10,AQI_O3_lv4,297.8497435897436,149.0
11,AQI_PM2.5_lv1,296.1904761904762,287.0
12,AQI_O3_lv5,150.26871794871795,217.0
13,AQI_PM10_lv3,143.06477051213892,143.0
14,AQI_CO_lv3,46.618995215311,860.0
15,AQI_PM2.5_lv5,4.559293993677555,687.0
