,Item,ExpSup,MaxPeriod
0,AQI_SO2_lv1,146.0,245.0
1,AQI_NO2_lv1,142.32075471698113,245.0
2,AQI_CO_lv2,122.24880382775117,245.0
3,Truck_HIGH,119.7442320705937,245.0
4,AQI_O3_lv1,118.0,253.0
5,AQI_PM10_lv1,73.68253968253967,245.0
6,AQI_PM10_lv2,47.863408521303256,378.0
7,AQI_PM2.5_lv2,46.91102756892231,261.0
8,AQI_PM2.5_lv3,42.27996950530833,341.0
9,AQI_PM2.5_lv4,14.454620096189101,481.0
10,AQI_O3_lv5,12.052564102564103,388.0
11,AQI_PM2.5_lv1,11.976190476190476,396.0
12,AQI_O3_lv4,10.656153846153847,557.0
13,AQI_PM10_lv3,5.563352826510721,491.0
14,AQI_CO_lv3,3.7655502392344493,556.0
