,Item,ExpSup,MaxPeriod
0,AQI_SO2_lv1,5545.0,49.0
1,AQI_NO2_lv1,5431.547169811321,49.0
2,Truck_LOW,5198.3061451339145,49.0
3,AQI_CO_lv2,4651.6746411483255,49.0
4,AQI_O3_lv1,4381.0,49.0
5,AQI_PM10_lv1,2276.6984126984125,52.0
6,AQI_PM10_lv2,2000.3439153439153,54.0
7,AQI_PM2.5_lv3,1888.5355831639183,54.0
8,AQI_PM2.5_lv2,1225.6594611528824,55.0
9,AQI_PM2.5_lv4,663.1078448034164,60.0
10,AQI_O3_lv4,583.3974358974359,81.0
11,AQI_PM2.5_lv1,469.1190476190476,190.0
12,AQI_O3_lv5,338.80743589743594,136.0
13,AQI_PM10_lv3,326.95987595250756,109.0
14,AQI_CO_lv3,102.64339712918658,598.0
15,AQI_PM2.5_lv5,17.501022128556375,644.0
16,AQI_PM10_lv4,3.4606060606060605,762.0
17,AQI_PM10_lv5,1.5347474747474743,894.0
