,Item,ExpSup,MaxPeriod
0,AQI_SO2_lv1,6992.0,49.0
1,AQI_NO2_lv1,6851.7169811320755,49.0
2,AQI_CO_lv2,5881.16028708134,49.0
3,Bus_LOW,5619.691682848193,49.0
4,AQI_O3_lv1,5524.0,49.0
5,Truck_LOW,3530.7840004695486,49.0
6,AQI_PM2.5_lv3,3429.3044465343055,54.0
7,AQI_PM10_lv1,2862.5661375661375,52.0
8,Motorbike_30Per,2660.676979062952,49.0
9,Car_30Per,2628.3906165403873,49.0
10,AQI_PM10_lv2,2562.509050403787,54.0
11,Car_15Per,2518.7135657428385,49.0
12,Person_15Per,2359.7514543827874,49.0
13,Truck_15Per,1883.3728030063385,49.0
14,Motorbike_LOW,1881.0977564365542,63.0
15,Person_LOW,1622.5804191469188,61.0
16,AQI_PM2.5_lv2,1559.718045112782,54.0
17,Person_30Per,1450.1906060836604,52.0
18,Motorbike_15Per,1034.312109178225,55.0
19,Bus_15Per,657.9455623627107,59.0
20,AQI_PM2.5_lv1,568.6428571428571,190.0
21,AQI_O3_lv4,482.4529734140789,74.0
22,AQI_PM10_lv3,399.69273436115543,109.0
23,Truck_30Per,345.86787751910924,128.0
24,AQI_O3_lv3,307.43897435897435,104.0
25,Motorbike_HIGH,236.4729067329226,120.0
