Mode,MinSup,MaxPer,PFItemCount,prepare_database,make_transaction,build_tree,upfp_growth,produce_pattern,max_pattern_length,potential_max_length,potential_pattern_count,size_tree
2.0,1024.0,64.0,24.0,0.0523306719987886,0.0,0.2651888240070548,0.4640696639980888,3.910026862286031e-07,-1.0,-1.0,777.0,4235.0
2.0,1024.0,64.0,24.0,0.049015466000128,0.0,0.2581126839941134,0.5105100859946106,7.709968485869467e-07,-1.0,-1.0,777.0,4235.0
2.0,1024.0,128.0,25.0,0.0496090859960531,0.0,0.2666212919939426,0.5736245279986179,2.9199873097240925e-07,-1.0,-1.0,1275.0,4659.0
2.0,1024.0,128.0,25.0,0.0509874950002995,0.0,0.2598936810027226,0.6972637380022206,9.099967428483068e-07,-1.0,-1.0,1275.0,4659.0
2.0,1024.0,256.0,29.0,0.0542767140068463,0.0,0.2602152859981288,0.7960608409994165,2.219967427663505e-07,-1.0,-1.0,1979.0,7242.0
2.0,1024.0,256.0,29.0,0.0530998629983514,0.0,0.2651818950034794,0.7874887680009124,4.459943738766016e-07,-1.0,-1.0,1979.0,7242.0
2.0,1024.0,512.0,30.0,0.0516441979998489,0.0,0.2838150200041127,0.8523740960008581,3.080058377236128e-07,-1.0,-1.0,2867.0,7880.0
2.0,1024.0,512.0,30.0,0.0511691119972965,0.0,0.2844518470010371,1.0006437999982154,3.479945007711649e-07,-1.0,-1.0,2867.0,7880.0
2.0,512.0,64.0,26.0,0.0609006990052876,0.0,0.2499580590010737,0.6391592759973719,3.690001904033125e-07,-1.0,-1.0,1014.0,5295.0
2.0,512.0,64.0,26.0,0.050596733999555,0.0,0.2664134809965617,0.7200266430008924,9.409995982423424e-07,-1.0,-1.0,1014.0,5295.0
2.0,512.0,128.0,39.0,0.050739191006869,0.0,0.2682242110022343,1.1193794629944025,3.1399395084008574e-07,-1.0,-1.0,2783.0,11484.0
2.0,512.0,128.0,39.0,0.0435137790045701,0.0,0.390399307005282,1.115294230003201,2.820015652105212e-07,-1.0,-1.0,2783.0,11484.0
2.0,512.0,256.0,48.0,0.0424729349979315,0.0,0.2987059879960725,1.8715854580004816,3.3700052881613374e-07,-1.0,-1.0,4760.0,20057.0
2.0,512.0,256.0,48.0,0.0427463449959759,0.0,0.2832652369979769,1.7738982969967765,3.949971869587898e-07,-1.0,-1.0,4760.0,20057.0
2.0,512.0,512.0,51.0,0.0418983889976516,0.0,0.4392097719974117,2.0291134459985187,3.0999945010989904e-07,-1.0,-1.0,8480.0,22153.0
2.0,512.0,512.0,51.0,0.0427327849974972,0.0,0.4181151860029786,2.0248593109936337,3.519962774589658e-07,-1.0,-1.0,8480.0,22153.0
2.0,256.0,64.0,26.0,0.0459503130041412,0.0,0.2317985889967531,0.5676374419999775,3.230015863664448e-07,-1.0,-1.0,1170.0,5295.0
2.0,256.0,64.0,26.0,0.0451397520009777,0.0,0.206009527995775,0.5936311140030739,3.4699769457802176e-07,-1.0,-1.0,1170.0,5295.0
2.0,256.0,128.0,42.0,0.045390277999104,0.0,0.3376349950049189,1.5093137359945104,4.090034053660929e-07,-1.0,-1.0,3973.0,12718.0
2.0,256.0,128.0,42.0,0.0502679959972738,0.0,0.2599673630029429,1.6215118439940852,3.300010575912893e-07,-1.0,-1.0,3973.0,12718.0
2.0,256.0,256.0,52.0,0.0419764249963918,0.0,0.2855985540008987,2.6539212909992784,3.3299875212833285e-07,-1.0,-1.0,8199.0,21961.0
2.0,256.0,256.0,52.0,0.0419244229997275,0.0,0.2810298789991066,2.6882677570029045,3.2900425139814615e-07,-1.0,-1.0,8199.0,21961.0
2.0,256.0,512.0,56.0,0.0417661819956265,0.0,0.2912670709993108,3.616342730994802,2.870001480914653e-07,-1.0,-1.0,16542.0,24370.0
2.0,256.0,512.0,56.0,0.041872075998981,0.0,0.3808517919969745,3.61080021700036,4.960020305588841e-07,-1.0,-1.0,16542.0,24370.0
2.0,128.0,64.0,26.0,0.0426662059981026,0.0,0.2761224540008697,0.6159132129978389,4.3299951357766986e-07,-1.0,-1.0,1222.0,5295.0
2.0,128.0,64.0,26.0,0.0404190459958044,0.0,0.334787925996352,0.5792713760019979,3.8799771573394537e-07,-1.0,-1.0,1222.0,5295.0
2.0,128.0,128.0,43.0,0.0408285779994912,0.0,0.372829163003189,2.0327296030009165,3.870009095408023e-07,-1.0,-1.0,5697.0,12917.0
2.0,128.0,128.0,43.0,0.0421267999990959,0.0,0.3493843960022786,1.831264349995763,3.259992809034884e-07,-1.0,-1.0,5697.0,12917.0
2.0,128.0,256.0,53.0,0.0425606710050487,0.0,0.5836690249998355,3.932035422003537,3.0099909054115415e-07,-1.0,-1.0,12070.0,22184.0
2.0,128.0,256.0,53.0,0.0426631820009788,0.0,0.2855409720068564,3.5525626739981817,3.870009095408023e-07,-1.0,-1.0,12070.0,22184.0
2.0,128.0,512.0,57.0,0.0425297019974095,0.0,0.3872819200041704,5.331878740005777,3.259992809034884e-07,-1.0,-1.0,27134.0,24593.0
2.0,128.0,512.0,57.0,0.0424260910003795,0.0,0.3776145019946852,5.467377134002163,3.3299875212833285e-07,-1.0,-1.0,27134.0,24593.0
2.0,64.0,64.0,26.0,0.0425187090004328,0.0,0.2100825710003846,0.5756002199996146,3.579989424906671e-07,-1.0,-1.0,1222.0,5295.0
2.0,64.0,64.0,26.0,0.0406151120041613,0.0,0.2043181400003959,0.591999065996788,3.1500530894845724e-07,-1.0,-1.0,1222.0,5295.0
2.0,64.0,128.0,43.0,0.0407964319965685,0.0,0.3451184900040971,2.016056824999396,2.9199873097240925e-07,-1.0,-1.0,6890.0,12917.0
2.0,64.0,128.0,43.0,0.04149881000194,0.0,0.2496411839965731,1.9703754240035776,4.23999154008925e-07,-1.0,-1.0,6890.0,12917.0
2.0,64.0,256.0,54.0,0.0421501349992468,0.0,0.2874994689991581,4.169029819000571,3.5599805414676666e-07,-1.0,-1.0,17302.0,22329.0
2.0,64.0,256.0,54.0,0.0412121289991773,0.0,0.4115994309977395,4.1678996729970095,2.9300281312316656e-07,-1.0,-1.0,17302.0,22329.0
2.0,64.0,512.0,58.0,0.042330784999649,0.0,0.3773643149979762,7.75142324600165,3.5099947126582265e-07,-1.0,-1.0,48597.0,24738.0
2.0,64.0,512.0,58.0,0.0424069050059188,0.0,0.3812204749992816,7.701623818997177,3.440000000409782e-07,-1.0,-1.0,48597.0,24738.0
2.0,32.0,64.0,26.0,0.0415485500052454,0.0,0.2126681830050074,0.5828727770058322,3.0999945010989904e-07,-1.0,-1.0,1222.0,5295.0
2.0,32.0,64.0,26.0,0.0399157860010745,0.0,0.2042820080023375,0.5791160819935612,3.539971658028662e-07,-1.0,-1.0,1222.0,5295.0
2.0,32.0,128.0,43.0,0.0408434290002333,0.0,0.2501594859932083,2.010793375004141,3.360037226229906e-07,-1.0,-1.0,7175.0,12917.0
2.0,32.0,128.0,43.0,0.0396996039999066,0.0,0.2449477030022535,1.99555925999448,3.349996404722333e-07,-1.0,-1.0,7175.0,12917.0
2.0,32.0,256.0,55.0,0.0412032239983091,0.0,0.2923260419993312,4.698095516003377,3.160021151416004e-07,-1.0,-1.0,23322.0,22399.0
2.0,32.0,256.0,55.0,0.0429506790023879,0.0,0.2854550140036735,4.644072868999501,4.390021786093712e-07,-1.0,-1.0,23322.0,22399.0
2.0,32.0,512.0,62.0,0.0428977470000973,0.0,0.6081427609969978,11.332599237000975,3.029999788850546e-07,-1.0,-1.0,97182.0,24976.0
2.0,32.0,512.0,62.0,0.0403531709962408,0.0,0.4902531580009963,11.322212104001665,3.659952199086547e-07,-1.0,-1.0,97182.0,24976.0
2.0,16.0,64.0,26.0,0.0414813699972,0.0,0.21357257499767,0.5834549530045479,3.0599767342209816e-07,-1.0,-1.0,1222.0,5295.0
2.0,16.0,64.0,26.0,0.0403915520000737,0.0,0.2103563330019824,0.5897167440052726,2.899978426285088e-07,-1.0,-1.0,1222.0,5295.0
2.0,16.0,128.0,43.0,0.0406521589975454,0.0,0.3348109149956144,1.943349011002283,2.999950083903969e-07,-1.0,-1.0,7180.0,12917.0
2.0,16.0,128.0,43.0,0.0405826260030153,0.0,0.2470553720049793,1.9945565509988228,3.270033630542457e-07,-1.0,-1.0,7180.0,12917.0
2.0,16.0,256.0,56.0,0.0407993160042678,0.0,0.2848989600024652,5.040533877996495,3.029999788850546e-07,-1.0,-1.0,30002.0,22433.0
2.0,16.0,256.0,56.0,0.0410345540003618,0.0,0.3235312899996643,5.018450538002071,2.949964255094528e-07,-1.0,-1.0,30002.0,22433.0
2.0,16.0,512.0,65.0,0.0450648519981768,0.0,0.2933466820031754,17.888962179000373,8.400020305998623e-07,-1.0,-1.0,218485.0,25047.0
2.0,16.0,512.0,65.0,0.0410886380050214,0.0,0.3916499730039504,18.306112689002475,3.500026650726795e-07,-1.0,-1.0,218485.0,25047.0
2.0,8.0,64.0,26.0,0.0422782730020117,0.0,0.2144027379981707,0.6112650860013673,3.610039129853249e-07,-1.0,-1.0,1222.0,5295.0
2.0,8.0,64.0,26.0,0.0408335089960019,0.0,0.2326339450009982,0.5969742119996226,3.1099625630304217e-07,-1.0,-1.0,1222.0,5295.0
2.0,8.0,128.0,43.0,0.0440624800030491,0.0,0.2753044319979381,2.066680556999927,3.019958967342973e-07,-1.0,-1.0,7180.0,12917.0
2.0,8.0,128.0,43.0,0.0516037220004363,0.0,0.2663060289996792,1.9110032719981973,3.550012479536236e-07,-1.0,-1.0,7180.0,12917.0
2.0,8.0,256.0,56.0,0.0427552839973941,0.0,0.4587403289988288,5.08819925699936,3.219975042156875e-07,-1.0,-1.0,30878.0,22433.0
2.0,8.0,256.0,56.0,0.0412971589976223,0.0,0.4158914099971298,5.296454120994895,3.2000389182940125e-07,-1.0,-1.0,30878.0,22433.0
2.0,8.0,512.0,65.0,0.0414971670033992,0.0,0.3838794779949239,33.10469248500158,3.120003384537995e-07,-1.0,-1.0,421464.0,25047.0
2.0,8.0,512.0,65.0,0.0499268870044034,0.0,0.5766748359965277,33.628578308002034,2.890010364353657e-07,-1.0,-1.0,421464.0,25047.0
2.0,4.0,64.0,26.0,0.0413684979939716,0.0,0.2061866489966632,0.585401924996404,2.779997885227204e-07,-1.0,-1.0,1222.0,5295.0
2.0,4.0,64.0,26.0,0.0399971470033051,0.0,0.2039940549948369,0.5780352840010892,3.450040821917355e-07,-1.0,-1.0,1222.0,5295.0
2.0,4.0,128.0,43.0,0.0405316989999846,0.0,0.3294096699974034,1.9052923090057448,3.770037437789142e-07,-1.0,-1.0,7180.0,12917.0
2.0,4.0,128.0,43.0,0.0405167049975716,0.0,0.4129142070014495,2.00355696099723,3.0499359127134085e-07,-1.0,-1.0,7180.0,12917.0
2.0,4.0,256.0,56.0,0.0403888699947856,0.0,0.4433094129999517,4.949570061995473,3.219975042156875e-07,-1.0,-1.0,30882.0,22433.0
2.0,4.0,256.0,56.0,0.0404784880010993,0.0,0.2923693929988076,5.160620898997877,3.169989213347435e-07,-1.0,-1.0,30882.0,22433.0
2.0,4.0,512.0,65.0,0.0410089360011625,0.0,0.2950411340061691,35.431233839000924,3.169989213347435e-07,-1.0,-1.0,573922.0,25047.0
2.0,4.0,512.0,65.0,0.0427426359965465,0.0,0.3749864749988774,35.51351484299812,2.929955371655524e-07,-1.0,-1.0,573922.0,25047.0
2.0,2.0,64.0,26.0,0.0419073000011849,0.0,0.206691735998902,0.5753641260016593,3.689929144456984e-07,-1.0,-1.0,1222.0,5295.0
